No,Post Content,InSet Lexicon,IndoBERT (Transformer),Lexicon Score,Match Status
21,"NERACA
Jakarta - Kepala Ekonom Bank Central Asia (BCA), David Sumual menilai, rencana entitas gabungan Gojek dan Tokopedia, GoTo yang akan melakukan penawaran umum perdana saham atau IPO di Bursa Efek Indonesia (BEI) membuat pasar modal Indonesia kembali bergairah,”Saat ini kenaikan IHSG tidak sep...",Positif (+1),Positif (+1),2.0,SAMA ✅
22,"STOCKWATCH.ID (JAKARTA) – Indeks Harga Saham Gabungan (IHSG) pada perdagangan saham sesi I, Senin (13/4/2026) ditutup di posisi 7.492,731, menguat 34,234 poin atau naik 0,46%. Penguatan ini diungkit oleh harga saham 348 emiten yang berakhir menguat, sementara sebanyak 305 saham ditutup turun dan...",Negatif (-1),Negatif (-1),-10.0,SAMA ✅
23,"Ijin bertanya kepada holder $CUAN $ANTM $BBCA 

Harga tomat di tempat kalian berapa yah 1 Kg nya saat ini ?",Negatif (-1),Netral (0),-1.0,BEDA ⚠️
24,"@tasyadevi15 

SIAAAAP,
LAKSANAKAAAN  
 $BBCA  😎  😎  😎  😎  😎",Netral (0),Netral (0),0.0,SAMA ✅
25,"Jurnal Skydrugz Bot Radar 1 Maret 2021: $BBCA enter the room

Akhirnya BBCA masuk juga ke dalam Skydrugz Bot Radar. Nampaknya appetite investor sudah mulai berubah. Dulunya BBCA selalu jadi idaman para investor. Sekarang Trend itu berubah. Duit lari ke nikel dan digital.

https://pintarsaham.id/jurnal-skydrugz-bot-radar-1-maret-2021-new-start/

BBCA Hari Pertama menghuni Skydrugz Bot Radar.

Saya jadi penasaran, kira-kira berapa lama BBCA akan bertengger di Radar dumping ini.

Untuk Insights lainnya bisa cek di sini https://pintarsaham.id/jurnal-skydrugz-bot-radar-1-maret-2021-new-start/",Positif (+1),Negatif (-1),0.5,BEDA ⚠️
26,"$PTRO Top value hari ini ngalahin $BBRI $BBCA
Sepi banget brarti ya IHSG hari ini .",Positif (+1),Positif (+1),5.0,SAMA ✅
27,$PNBN lirik sini ndar $BNGA$BBCA,Netral (0),Netral (0),0.0,SAMA ✅
28,ayolah 8950 $BBCA,Netral (0),Netral (0),0.0,SAMA ✅
29,Nyangkut di $bbca dia minus 2%,Negatif (-1),Negatif (-1),-6.0,SAMA ✅
30,"$BBCA kemarin ini saham buybacknya kenceng bet, skrng sellnya yang kenceng wkwkwk..
apakah bisa nyampe 9k aja dulu",Negatif (-1),Netral (0),-8.0,BEDA ⚠️
31,$PTPS panggilan kepada paus paus $BBCA naikkan saham ini karna konon katanya mau ke 400 paling dekat 280🤣🤣🤣,Positif (+1),Positif (+1),6.0,SAMA ✅
32,"STOCKWATCH.ID (JAKARTA) – Indeks Harga Saham Gabungan (IHSG) pada perdagangan saham Senin (30/3/2026) terus bergerak di zona merah, bahkan jatuh di bahwa level 7.000. Hingga pukul 09.26 WIB, IHSG terpantau di level 6.975,309, melemah 121,748 poin atau ambruk 1,72% dari penutupan Jumat (27/3/2026...",Negatif (-1),Negatif (-1),-14.5,SAMA ✅
33,$BBCA broksum nya bagus. senin masih hijau 🚀🚀,Positif (+1),Positif (+1),2.5,SAMA ✅
34,"Kalau dia turun, ini bakal jadi kenang kenangan 🤣 $BBCA",Positif (+1),Positif (+1),4.0,SAMA ✅
35,$BBCA jalan di tempat,Negatif (-1),Netral (0),-3.0,BEDA ⚠️
36,"SAHAM Bbca sudah patah trend dari tahun 2024 
Ath dari 10.900 longsor ke 6400
bahkan bisa longsor ke area suport 6000 dan lebih parahnya jika jebol suport bisa ke harga covid 4000..

outflow asing di saham bbca dari tahun 2024 sudah keluar 60t itulah sebabnya kenapa inflasi terus naik  dan rupiah terus melemah  dari 15.500 saat ini ke 17.100
turunya saham $BBCA $BBRI $BMRI mencerminkan betapa lemahnya ekonomi indonesia",Negatif (-1),Negatif (-1),-13.0,SAMA ✅
37,"$BBCA Terlihat overall viewnya hari ini juga sudah sangat menarik karena akhirnya BBCA hari ini sudah berhasil untuk bisa rebound n naik dengan luar biasa signifikan n solid disertai adanya lonjakan volume transaksi yang besar yaitu hingga saat ini BBCA sudah berada diangka 6225 dimana secara technicalnya pun BBCA saat ini juga baru"" ada muncul signal BUY dari indikator Stochasticnya sehingga hal ini jelas menunjukkan bahwa momentum bullish mulai kembali muncul di BBCA sehingga membuat viewnya jadi menarik.

BBCA saat ini punya kisaran area Target ada diangka 6300-6400, ada potensi cukup besar BBCA Kedepannya akan bisa naik kesana dimana Jika BBCA ini kuat untuk bisa terus naik dari Target tersebut, BBCA punya Next Target kenaikan bisa hingga kisaran angka 6650-6800.

$BBRI $BMRI",Positif (+1),Positif (+1),56.0,SAMA ✅
38,$BBCA waw diskon,Positif (+1),Positif (+1),2.0,SAMA ✅
39,"Sesuai request nya Pak/Bu @deddyzhong

$BBRI terkoreksi dalam, untuk saat ini jika senin nanti dia tidak mampu close di atas 4400 maka probabilitasnya ada potensi turun menguji area 4300, jika niat invest tentu saja ini peluang jika dia turun bisa entry di area support nya, namun jika blm punya barang dan ingin trade, lebih baik tunggu dia berhasil break out dan close di atas 4400 baru bisa spec buy dengan target profit area 4560 dan selanjutnya area 4780 $BBCA $BMRI $BBNI

Semoga bermanfaat dan profit, Pak/Bu. Untuk review saham dalam berbentuk audio dan visual bisa di cek di link bio / youtube channel saya.",Negatif (-1),Positif (+1),-3.0,BEDA ⚠️
40,"$INDS sahur.. sahur hari ini enaknya makan Iga Nasi Dicampur Soto 25 Mangkok full bersama @BELVINVVIPREAL.
$BBCA$BUMI",Positif (+1),Positif (+1),4.0,SAMA ✅
41,Ini besok ada pengumuman suku bunga BI dan minggu depan kemungkinan dividen interm $BBCA . Jadi ini seminggu sampai minggu depan akan naik terus sampai nyentuh 9200,Positif (+1),Positif (+1),13.0,SAMA ✅
42,@dinoantara7 Kalo $BBCA percaya ke suatu emiten brarti emiten itu pasti kredibel ya gan? BCA ngasih loan ke $TELE sekitar 800 Bio dan sampe skrg kredit BCA nyangkut gak bisa dilunasi. Sekelas BCA aja percaya dgn tele brarti tele pasti kredibel.,Positif (+1),Positif (+1),14.5,SAMA ✅
43,mending pilih $BBCA,Netral (0),Netral (0),0.0,SAMA ✅
44,"Closing hadiah buat NKRI apakah bisa tembus 8000

ayoo big bank aja sih logis yaa yg dinaikin biar cpet ke angkat IHSG nya $BBRI $BMRI $BBCA",Positif (+1),Positif (+1),13.0,SAMA ✅
45,"$BBCA

Akumulasi 
30 April - 23 Mei 2025

Net Volume 1,158,384
Net Value 1,027.5B

Average buy (Rp) 8,870",Positif (+1),Positif (+1),2.0,SAMA ✅
46,"$BBCA udah 2 hari bermasalah e-bankingnya. Agak mengkhawatirkan ini. Seperti harga sahamnya jg mengkhawatirkan. 🤪

Padahal mau top up akun saham US yg lagi tudemun beterbangan (Micron naek 800% dalam setaon - sedangkan kita di sini sibuk ribut adu ngeyel), gak spt IHSG yang semakin hari semakin dalem nyungsepnya. Juni onwards makin mengkhawatirkan juga - potensi downgrade, kewajiban bayar utang (tapi buat nutup utangnya gak ada yg niat beli bond RI?), rupiah yg bau2 akan segera tembus 18K (trus jebol ke 20K?).

Dah sini sy fear sekalian 🥶🤣

$TPIA $DSSA",Positif (+1),Positif (+1),21.0,SAMA ✅
47,$BBCA sempat ke angka 4000an di maret 2020,Netral (0),Netral (0),0.0,SAMA ✅
48,$BBCA bandarmology,Netral (0),Netral (0),0.0,SAMA ✅
49,$BBCA kena impact svb jeblok,Negatif (-1),Negatif (-1),-8.0,SAMA ✅
50,@ferrypangaribuan87 $BBCA menuju under 10k,Negatif (-1),Netral (0),-4.0,BEDA ⚠️
51,"Lagian juga di gendong $BBCA kalian masih juga percaya sama antek antek🤣 udahla. Sabar dulu, stay save dulu duitlu sampe antek antek dibersihin semua hahaha $BNBR $TPIA",Negatif (-1),Negatif (-1),-7.0,SAMA ✅
52,$BBCA OTW 7000 INI MAHH,Netral (0),Negatif (-1),0.0,BEDA ⚠️
53,"$BBCA   biasanya paling cepat mantulnya, minimal ke 10500 dulu👍",Netral (0),Netral (0),0.0,SAMA ✅
54,"$BBRI
$BBCA
satu2nya saham big bank yang retailnya berkurang, gila itu bbca jumlah retailnya naik drastis, bbni, bmri juga sama, tapi percuma lah bbri diakum sendiri tapi lainnya distribusi kapan naiknya",Positif (+1),Positif (+1),3.0,SAMA ✅
55,"$XIHD ETF harus mulai diramekan nih di SB
tag $BBRI $BBCA",Negatif (-1),Netral (0),-4.0,BEDA ⚠️
56,"bei playlist lyric : i covering my ears like a kid, when your words mean nothing i go la la la $IHSG $TLKM $BBRI $BBCA",Netral (0),Netral (0),0.0,SAMA ✅
57,"APAKAH $IHSG PERLU KOREKSI 4 SEHAT 5 SEMPURNA ?

$BBCA $ASII",Netral (0),Positif (+1),0.0,BEDA ⚠️
58,"$EPAC selamat yang sudah masuk, baru juga malam diposting 

tags $BBYB $DRMA $BBCA",Positif (+1),Positif (+1),2.0,SAMA ✅
59,$BBCA dikit lagi padahal keluar dari merah.,Negatif (-1),Negatif (-1),-10.0,SAMA ✅
60,$BBCA gass ken😆,Positif (+1),Positif (+1),2.5,SAMA ✅
61,"@Zealogen 

$BBCA
ATL 1 tahun di Rp.7275.
ATL 10 tahun Rp.2.375.",Netral (0),Netral (0),0.0,SAMA ✅
62,"$DSSA dari hari senin info dah cuan puluhan persen kan, cicil lagi selagi under 740-700
jangan lupa follow biar dap3t insight gratis

$TPIA$BBCA",Negatif (-1),Positif (+1),-3.5,BEDA ⚠️
63,"JAKARTA, investor.id - Phintraco Sekuritas memprediksi IHSG rebound lanjutan pada perdagangan Jumat (13/1/2023). IHSG diperkirakan akan diperdagangkan pada resistance 6.740, pivot 6.680, dan support 6.600. Jangan lewatkan saham-saham pilihan ini, salah satunya BBCA.  Phintraco Sekuritas menjelaskan...",Positif (+1),Positif (+1),5.5,SAMA ✅
64,"@FarrensiaKurniawan ..$GOTO $BREN ..dh jd korbanya..kk..
next..$BBCA..wkkk",Netral (0),Negatif (-1),0.0,BEDA ⚠️
65,"$BMRI
Jadi hasil kunjungan Menkeu PUr, bikin ritel tambah nyangkut dong.?🤦🤭
Yg fomo Maren sore, gimana nasibnya?🤔
$BBCA $BBRI",Positif (+1),Negatif (-1),1.5,BEDA ⚠️
66,"$FUTR tak sia2 ku bersabar dari avg 218, thank youuuu.. Beli ini barengan sama $BBCA porsi BBCA 2x lipat nya malah ga kemana2, kaya siput",Positif (+1),Positif (+1),6.0,SAMA ✅
67,"@Barimuwardi sejarah pasti berulang. Jadi gak usah terkejut.

Saat BCA ambyar tahun 98, banyak orang rush money dari rekening $BBCA mereka dan kemudian dipindahkan ke $NISP.

Lantas apakah karena layanan atau $NISP adalah ""safe heaven bank""? Saya tidak tahu. Yang pasti $NISP punya nilai intrinsik yang cukup baik dimata para customer BCA pada saat itu.",Positif (+1),Positif (+1),7.0,SAMA ✅
68,"Ahirnya $BBCA KEmbali di saliB $BREN
prikitiiuuwww,,,",Netral (0),Netral (0),0.0,SAMA ✅
69,"$BBCA mua balik keharga 8000-9000 an akhir bulan ini,buyback 5 T,buat para ritel,jngm dijual GOBLOGGGG",Negatif (-1),Positif (+1),-2.0,BEDA ⚠️
70,Dilihat dari chart $BBCA bakal mampir ke 5400 dulu $IHSG siapin duit buat average down every -10%,Negatif (-1),Negatif (-1),-3.0,SAMA ✅
71,"$IHSG $BBCA $TPIA

Di beranda gawai yang kian temaram
Menatap layar, kabar makin mencekam
Angka-angka menari membawa berita
Dollar sudah menembus delapan belas ribu saja
Hati yang cemas makin tak menentu
Melihat esok yang masih membatu

Tangan-tangan serakah merajut cerita
Korupsi tumbuh subur di mana-mana
Suara riuh MBG dan Kopdes membahana
Menjanjikan mimpi di tengah bencana
Menahan perih di balik rupa-rupa kata",Negatif (-1),Negatif (-1),-19.0,SAMA ✅
72,"$BBCA
candlenya uda ekor meteor yang siap menghantam bumi :rofl:",Negatif (-1),Negatif (-1),-11.0,SAMA ✅
73,"$BMRI Walaupun 3 hari perdagangan cuma netbuy 121 Miliar mayan lah daripada netsell🤣🤣



$BBRI $BBCA",Negatif (-1),Netral (0),-3.0,BEDA ⚠️
74,"tolong diblok IP ini orang ---> @ChrisEldon karena sdh menyebarkan berita bohong
cc: @SuperAdmin

$BBCA $ANTM $PTRO",Negatif (-1),Negatif (-1),-9.0,SAMA ✅
75,"STOCKWATCH.ID (JAKARTA) — Situasi panas dalam dua hari terakhir membuat pasar modal ikut terguncang. Aksi anarkis dan penjarahan yang merebak dikhawatirkan memberi dampak besar pada Indeks Harga Saham Gabungan (IHSG) maupun pergerakan investor asing.
Reza Priyambada, Director PT Reliance Sekuritas...",Netral (0),Negatif (-1),0.0,BEDA ⚠️
76,"@ardii34 
kebanyakan ekspansi ya begini jadi ny gk focus sama perusahaan induk nya, sama hal ny spti CT grup, HT grup..

ya gw salut sma keluarga grup $BBCA focus sma 1 emiten aja, secara banyak anak perusahaan yg seharus ny bisa di listing sama mereka..",Positif (+1),Netral (0),19.0,BEDA ⚠️
77,"Top market cap tidak banyak pilihan untuk trading bulan ini  🤑 🤑 🤑

 $BBRI $BBCA $BREN",Negatif (-1),Positif (+1),-9.0,BEDA ⚠️
78,"🌟 [TSC NEWS 18/01/23] 🌟

😁 BROKER INVESTIUM (LH) DI GEMBOK BURSA! YUK SIMAK! 😁
[ 🌟 KABAR SAHAM TERBAIK DI BIO! 🌟]

Bursa Efek Indonesia (BEI) melarang PT Royal Investium Sekuritas (LH) melakukan aktivitas perdagangan di Bursa sejak hari ini tanggal 17 Januari 2023.

BEI dalam keterangan resmi hari ini Selasa(17/1/2023) yang ditandatangi dua direktur BEI Irvan Susandy dan Kristian S. Manullang menyebutkan bahwa sanksi itu dijatuhkan setelah mengetahui Modal Kerja Bersih Disesuaikan (MKBD) per tanggal 16 Januari 2023 tidak memenuhi ketentuan nilai minimum yang dipersyaratkan.

Sementara tertera MKBD terakhir dilaporkan senilai Rp26,8 miliar dan modal disetor Rp204 miliar.

Sementara itu dalam 9  bulan tahun 2022, LH menderita rugi tahun berjalan Rp5,383 miliar setelah mengumpulkan pendapatan kegiatan perdagangan efek Rp11,512 miliar.

Namun beban usaha mencapai Rp13,034 miliar yang dipicu oleh beban kepegawaian Rp6,2 miliar dan biaya iklan dan promosi Rp4,074 miliar.

Tak heran sekuritas yang 63,8 persen sahamnya dikuasai IDS Forex HK Limited mengalami defisit Rp128,84 miliar.

$BBCA SUPPORT 8000
$ANTM RESIS 2270
$GOTO https://stockbit.com/post/10568088
$IHSG https://stockbit.com/post/10460631

[AKSES REKOM TERBAIK DI BIO!",Negatif (-1),Positif (+1),-15.0,BEDA ⚠️
79,"WE LOVE FOREIGN INVESTORS


https://m.youtube.com/shorts/vdB-FWZfd-w


Siapa yang mau FOREIGN INVESTORS kembali dan bersama-sama MEMBANGUN INDONESIA tolong di LIKE postingan ini. 

🥰

$BBRI $BBCA $BUMI",Positif (+1),Positif (+1),3.0,SAMA ✅
80,$BBCA hufft,Netral (0),Netral (0),0.0,SAMA ✅
81,"Weekly TF
Secara historis, dalam 10 tahun terakhir, level VIX (indeks ketakutan) $BBCA pernah berada di angka 37. itu terjadi pada saat pandemi covid19 di awal tahun 2020. sekarang level VIX berada di angka 28.",Positif (+1),Negatif (-1),6.0,BEDA ⚠️
82,"Emitentrust.com – Indeks Harga Saham Gabungan (IHSG) kembali ditutup di zona merah pada akhir perdagangan pekan ini, Jumat (26/6/2026). IHSG merosot 102,90 poin atau 1,72% ke level 5.896,13 setelah bergerak di kisaran 5.830 hingga 6.045 sepanjang sesi perdagangan.
Tekanan jual terjadi hampir di se...",Negatif (-1),Negatif (-1),-4.5,SAMA ✅
83,$BBCA kasih jrot ndaaar,Positif (+1),Positif (+1),2.0,SAMA ✅
84,$BBCA bangkrut apa gimana sih? Beban porto 🥲🥲,Negatif (-1),Negatif (-1),-8.0,SAMA ✅
85,"Beli $DOOH pas merah, jual pas hijauuu. Dikit2 profit gapapaa. Dikit2 menjadi bukittt. 

 $GOTO $ASII $BBCA",Positif (+1),Positif (+1),11.0,SAMA ✅
86,"$BBCA
walah.. ini toh penyebab IHSG crash, tolonglah grup djarum all in lah.. 😁😂",Negatif (-1),Negatif (-1),-7.0,SAMA ✅
87,"$IHSG bisa saja naik ke atas 9000, tapi kondisinya masih belum cukup solid untuk bertahan di level >9000.

Utamanya karena faktor dari eksternal Indonesia.

Harga emas bikin ATH baru.

Harga komoditas lain seperti Aluminium, Bauksit, Tembaga, Timah, dll masih terus kuat.

Harga komoditas terkait energi seperti minyak dan batubara masih belum cukup kuat.

USD menguat ditopang data ekonomi US yang rilis belakangan ini cukup resilien, menurunkan peluang Fed melanjutkan cut rate.

Komentar Trump yang semakin ingin mencaplok Greenland.
Serta terbukanya opsi invasi US ke Iran memanfaatkan buruknya kondisi domestik Iran, makin meningkatkan ketegangan geopolitik.

Walaupun di sisi lain, ketegangan US dengan Venezuela dan Kolombia sudah terdeeskalasi, dan komentar Trump yang masih cenderung bersahabat dengan Putin.

Paduan faktor-faktor ini sebenarnya bukan hal bagus buat sektor riil ekonomi Indonesia yang masih berusaha pulih.

USD menguat cenderung menekan Rupiah, mendorong modal outflow dari Indonesia.

Harga komoditas yang naik pun lebih didorong kekhawatiran untuk segera mengamankan aset dan stok di tengah ketidakpastian.
Bukan karena pemulihan ekonomi global yang solid. 
Terlihat dari harga komoditas terkait energi seperti minyak dan batubara yang masih lemah.

Perlu effort yang makin besar lagi dari kebijakan fiskal pemerintah, moneter BI, dan dorongan sektor swasta, untuk bisa meningkatkan pertumbuhan ekonomi Indonesia.

Emiten terkait komoditas yang naik mungkin masih diuntungkan.
Tapi sektor riil secara keseluruhan masih belum kuat.

Rambut Menkeu Purbaya makin kusut dah 🤔

$BBCA $ANTM",Negatif (-1),Negatif (-1),-68.0,SAMA ✅
88,"$BBCA ingat pesan kawan,katanya,bluechip g bs digoreng/turun jauh,mustahil katanya🙄",Positif (+1),Positif (+1),4.0,SAMA ✅
89,"punya dana pinjaman KUR 50 jt, dan bunga per tahun 6%, kira kira layak gak ya di taruh di $BBCA 
mohon bimbingannya suhu",Positif (+1),Positif (+1),19.0,SAMA ✅
90,$BBCA waduh lemah sekali ni ... aseli kaya gorengan....😁,Positif (+1),Positif (+1),9.0,SAMA ✅
91,$BBRI $BBCA $BMRI tiati nanti yg CL bakal dijemput 🤣,Negatif (-1),Negatif (-1),-2.0,SAMA ✅
92,"akankah $BBCA terbang k 8500?

tag random $IHSG $BMRI $BBRI",Negatif (-1),Negatif (-1),-0.5,SAMA ✅
93,"$BBCA
Pertama Kali liat BCA Chart Sisir 🗿",Positif (+1),Positif (+1),2.0,SAMA ✅
94,$BBCA Bubar.. Bubar...😁😁😁,Netral (0),Netral (0),0.0,SAMA ✅
95,"Cuman sekedar Mengingatkan… 

Salah satu Distribusi Legal dan Rapi itu Dibungkus lewat STOCKSPLIT…
(Lihat Konsentrasi Kepemilikan Saham dan Liquidity Pemegang Saham diatas 5%)

PENTING !!! Cek PER dan PBV juga…. 

Jangan sampai kita sebagai Ritel-ritel di Jadikan Exit Liquidity… 

$ANTM $BBCA $RANS",Positif (+1),Positif (+1),2.0,SAMA ✅
96,"SAHAM POTENSI CUAN 17%

https://youtu.be/rvFMPgx29wI
$SMDR $GOTO $ANTM $BBCA",Netral (0),Positif (+1),0.0,BEDA ⚠️
97,"Pusing dengan pajak,,,
Jika punya uang 1 M lalu di masukan ke saham batur bara dapat deviden, devidennya di ambil buat beli cilok/ kebutuhan sehari hari,
Apakah nanti akan kena pajak?
Terus bayar pajaknya bagaimana?
Study kasus, bagi para suhu mohon jawabannya
$BBRI $BBCA $PTBA $ADRO",Positif (+1),Negatif (-1),14.0,BEDA ⚠️
98,ga ad modal pusing biarin aja 🗿 sisa modal Uda all in $PGEO $BBCA sama $ANTM,Negatif (-1),Negatif (-1),-7.0,SAMA ✅
99,"@JuandaMaulana variatif sih bos, $BBCA merah $BBNI ijo",Netral (0),Netral (0),0.0,SAMA ✅
100,"indonesia otw pertumbuhan 8%.
Indonesia otw Di lirik dunia
Indonesia Otw di segani dunia


https://stockbit.com/post/33111858


Rt $BBCA $BBRI $BMRI",Positif (+1),Positif (+1),2.0,SAMA ✅
